env,distract,method,task_id,mean_success,stderr_success,num_seeds
object,True,vqvae,3,0.25999999791383743,0.14352699903376115,5
object,True,vqvae,4,0.36000000685453415,0.09273618770264244,5
object,True,vqvae,5,0.6399999931454659,0.13999999766903273,5
object,True,vqvae,6,0.4200000002980232,0.1881488758283693,5
object,True,vqvae,7,0.6,0.10488088140716735,5
object,True,vqvae,8,0.5600000053644181,0.10295630193090852,5
object,True,vqvae,9,0.5600000053644181,0.10295630193090852,5
spatial,False,cardpol,0,0.6600000143051148,0.0399999961256985,5
spatial,False,cardpol,1,0.8399999976158142,0.08124038067142061,5
spatial,False,cardpol,2,0.7600000023841857,0.10295629990464827,5
spatial,False,cardpol,3,0.6800000026822091,0.15297058598251403,5
spatial,False,cardpol,4,0.32000000327825545,0.07999999942258003,5
spatial,False,cardpol,5,0.6600000023841858,0.12083045845338777,5
spatial,False,cardpol,6,0.8399999976158142,0.0812403806714206,5
spatial,False,cardpol,7,0.5400000005960465,0.12083045783677336,5
spatial,False,cardpol,8,0.4799999937415123,0.13564659624608272,5
spatial,False,cardpol,9,0.1800000056624412,0.048989797410680457,5
spatial,False,curl,0,0.6600000023841858,0.05099019443456236,5
spatial,False,curl,1,0.44000000655651095,0.09273618392658377,5
spatial,False,curl,2,0.8600000023841858,0.0399999961256985,5
spatial,False,curl,3,0.539999994635582,0.1208304546303782,5
spatial,False,curl,4,0.38000000417232516,0.05830951777291013,5
spatial,False,curl,5,0.5799999937415123,0.18275666584077044,5
spatial,False,curl,6,0.6799999892711639,0.10198038419335076,5
spatial,False,curl,7,0.7799999952316284,0.08602325170038058,5
spatial,False,curl,8,0.22000000029802322,0.13190905770750339,5
spatial,False,curl,9,0.06000000089406966,0.040000000596046435,5
spatial,False,icvf,0,0.7599999964237213,0.10295629932571683,5
spatial,False,icvf,1,0.44000000804662703,0.12884098993889198,5
spatial,False,icvf,2,0.7199999928474426,0.06633249365053104,5
spatial,False,icvf,3,0.5800000041723251,0.12000000067055233,5
spatial,False,icvf,4,0.20000000149011612,0.10488088531428466,5
spatial,False,icvf,5,0.6399999976158142,0.1326649877503486,5
spatial,False,icvf,6,0.8599999904632568,0.05099019443456236,5
spatial,False,icvf,7,0.559999993443489,0.14696937763194481,5
spatial,False,icvf,8,0.5399999931454659,0.116619035162491,5
spatial,False,icvf,9,0.08000000119209288,0.03741657442528981,5
spatial,False,vae,0,0.38000000864267347,0.13564660289217823,5
spatial,False,vae,1,0.5800000041723251,0.17435595615199617,5
spatial,False,vae,2,0.7599999934434891,0.14352699820319081,5
spatial,False,vae,3,0.4400000020861626,0.13638181687152406,5
spatial,False,vae,4,0.0,0.0,5
spatial,False,vae,5,0.28000000566244126,0.11575837210446388,5
spatial,False,vae,6,0.4400000095367432,0.09273618521205042,5
spatial,False,vae,7,0.38000000864267347,0.08602325499160758,5
spatial,False,vae,8,0.24000000357627868,0.06782330084189861,5
spatial,False,vae,9,0.02000000029802322,0.020000000298023218,5
spatial,False,vip,0,1.0,,1
spatial,False,vip,1,0.7400000095367432,0.039999999105930745,5
